Feed Processing Summary:
   Total records processed	  2088
   Rejected               	 - 102
                          	=======
   Accepted               	  1986

original-record-number	sku	error-code	error-type	error-message
1308	TONER-HP-Q5952A	8123	Error	The item with SKU TONER-HP-Q5952A cannot be modified because it matches a deleted item.  For more information, please refer to http://sellercentral.amazon.com/gp/errorcode/8123
131	INK-Canon-BCI-21C	99037	Warning	The "UPC" (00750845720815) field contains an invalid value.
1339	TONER-IBM-75P5711	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-IBM-75P5711.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
135	INK-Canon-BCI-3eC	99037	Warning	The "UPC" (00750845725889) field contains an invalid value.
136	INK-Canon-BCI-3eM	99037	Warning	The "UPC" (00750845725797) field contains an invalid value.
137	INK-Canon-BCI-3ePBK	99037	Warning	The "UPC" (00750845725841) field contains an invalid value.
1372	TONER-Konica-Minolta-A0WG03F	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Konica-Minolta-A0WG03F.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1373	TONER-Konica-Minolta-A0WG08F	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Konica-Minolta-A0WG08F.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1374	TONER-Konica-Minolta-A0WG0EF	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Konica-Minolta-A0WG0EF.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1375	TONER-Konica-Minolta-A0WG0KF	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Konica-Minolta-A0WG0KF.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
138	INK-Canon-BCI-3ePC	99037	Warning	The "UPC" (00750845725834) field contains an invalid value.
1382	TONER-Kyocera-Mita-TK1142	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Kyocera-Mita-TK1142.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
139	INK-Canon-BCI-3ePM	99037	Warning	The "UPC" (00750845725827) field contains an invalid value.
140	INK-Canon-BCI-3eY	99037	Warning	The "UPC" (00750845725810) field contains an invalid value.
1401	TONER-Kyocera-Mita-TK562C	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Kyocera-Mita-TK562C.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
