ZINK-HP-HP564XL-Combo11
,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,
No. of Orders,152,159,161,179,229,196,153,157,167,238,246,247,194,
No. of Qty,162,170,177,185,247,209,158,165,180,254,257,263,199,
MOM Increase (no. of Orders),,7,2,18,50,-33,-43,4,10,71,8,1,-53,,YOY Increase (no. of Orders),42
MOM Increase (no. of Qty),,8,7,8,62,-38,-51,7,15,74,3,6,-64,,YOY Increase (no. of Qty),37
MOM % Increase (no. of Orders),,4.61%,1.26%,11.18%,27.93%,-14.41%,-21.94%,2.61%,6.37%,42.51%,3.36%,0.41%,-21.46%,,YOY % Increase (no. of Orders),27.63%
MOM % Increase (no. of Qty),,4.94%,4.12%,4.52%,33.51%,-15.38%,-24.4%,4.43%,9.09%,41.11%,1.18%,2.33%,-24.33%,,YOY % Increase (no. of Qty),22.84%
 
ZINK-Kodak-10-Combo4
,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,
No. of Orders,24,33,40,35,37,39,23,17,38,30,53,36,26,
No. of Qty,27,34,41,36,41,46,23,21,38,33,53,36,26,
MOM Increase (no. of Orders),,9,7,-5,2,2,-16,-6,21,-8,23,-17,-10,,YOY Increase (no. of Orders),2
MOM Increase (no. of Qty),,7,7,-5,5,5,-23,-2,17,-5,20,-17,-10,,YOY Increase (no. of Qty),-1
MOM % Increase (no. of Orders),,37.5%,21.21%,-12.5%,5.71%,5.41%,-41.03%,-26.09%,123.53%,-21.05%,76.67%,-32.08%,-27.78%,,YOY % Increase (no. of Orders),8.33%
MOM % Increase (no. of Qty),,25.93%,20.59%,-12.2%,13.89%,12.2%,-50%,-8.7%,80.95%,-13.16%,60.61%,-32.08%,-27.78%,,YOY % Increase (no. of Qty),-3.7%
 
ZINK-Lexmark-70-20-Combo2
,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,
No. of Orders,5,11,15,6,11,8,7,6,6,8,9,8,4,
No. of Qty,7,11,21,8,13,8,8,6,9,9,9,10,5,
