URL,HTTP code,Type
https://www.compandsave.com/Canon_PC-921_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
http://www.compandsave.com/Canon_Pixma_iP2702_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/Canon_Pixma_iP3600_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_2500C+_Pro_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_Color_LaserJet_2550L_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_Color_LaserJet_CM1017mfp_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_Color_LaserJet_Pro_MFP_M177fw_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DesignJet_1050C_Plus_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskJet_1250_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskJet_500_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskJet_890Cxi_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskJet_930__Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskJet_932C_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskJet_934C_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskWriter_600c_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_DeskWriter_672_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_Envy_5531_e-All-in-one_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_Fax_310_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_Fax_700_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_LaserJet_3380_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_LaserJet_P2015dn_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_OfficeJet_7410xi_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_OfficeJet_J6488_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_OfficeJet_R45_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PSC_1315_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PSC_2350_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PSC_2410_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PhotoSmart_5510___B111a_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PhotoSmart_A510_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PhotoSmart_C4383_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PhotoSmart_D5300_Series_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/HP_PhotoSmart_eStation_All-in-One_Ink_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/Lexmark_C543dn_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/Lexmark_X522s_MFP_Laser_Toner_Cartridges_s/,404,HTTP codes 400-499
https://www.compandsave.com/v/vspfiles/V4_Backup/css/style.css,404,HTTP codes 400-499
http://www.compandsave.com/-photo paper,404,HTTP codes 400-499
http://www.compandsave.com/Apollo_P_2600_Ink_Cartridges_s/,404,HTTP codes 400-499
http://www.compandsave.com/Apple_Printer_Ink_Toner_s/,404,HTTP codes 400-499
http://www.compandsave.com/AstroJet_300P_Ink_Cartridges_s/,404,HTTP codes 400-499
http://www.compandsave.com/Brother_DCP-385C_Ink_Cartridges_s/,404,HTTP codes 400-499
