Feed Processing Summary:
   Total records processed	 2104
   Rejected               	 - 20
                          	======
   Accepted               	 2084

original-record-number	sku	error-code	error-type	error-message
1165	INK-Mutoh-VJMSINK3CL	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/INK-Mutoh-VJMSINK3CL-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1170	INK-Roland-ESL-3CL	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/INK-Roland-ESL-3CL-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
122	INK-HP-C4907AN	8542	Error	SKU INK-HP-C4907AN, (ASIN B004E3JW58, (part_number Merchant: 'C4907AN' / Amazon: '22577')), (ASIN B00GCW3CJG, (part_number Merchant: 'C4907AN' / Amazon: 'C4909AN')), (ASIN B001NID88Y, (part_number Merchant: 'C4907AN' / Amazon: 'C4909AN#140')), (ASIN B008OSE4QG, (part_number Merchant: 'C4907AN' / Amazon: '55754')). The product_id submitted with INK-HP-C4907AN corresponds to multiple ASINs (B004E3JW58, B00GCW3CJG, B001NID88Y, B008OSE4QG) but we are unable to determine which. Please update your information to best match the appropriate ASIN. If your product is different than any ASIN, please check the product_id. If it is correct, please contact Seller Support for proper resolution. Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/200692340
1279	INK-HP-IQ2392A	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/INK-HP-IQ2392A-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
13	INK-Lexmark-17G0060	99037	Warning	The "UPC" (00734646163972) field contains an invalid value.
1316	INK-Mimaki-ES3CL	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/INK-Mimaki-ES3CL-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1340	TONER-Panasonic-KX-FATK509	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Panasonic-KX-FATK509-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1341	TONER-Panasonic-KX-FATM507	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Panasonic-KX-FATM507-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1342	TONER-Panasonic-KX-FATY508	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Panasonic-KX-FATY508-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1355	DRUM-Konica-Minolta-A03010AF	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DRUM-Konica-Minolta-A03010AF-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1356	DRUM-Konica-Minolta-A03010GF	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DRUM-Konica-Minolta-A03010GF-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1357	DRUM-Konica-Minolta-A03100F	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DRUM-Konica-Minolta-A03100F-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1358	DRUM-Konica-Minolta-A03105F	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DRUM-Konica-Minolta-A03105F-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
138	INK-HP-C4841A	99037	Warning	The "UPC" (00088698205419) field contains an invalid value.
140	INK-HP-C4804A	99037	Warning	The "UPC" (00808736270946) field contains an invalid value.
141	INK-HP-C4911A	99037	Warning	The "UPC" (00725184272707) field contains an invalid value.
1412	SPEC-BROTHER-LC103-Combo10	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-BROTHER-LC103-Combo10-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1413	SPEC-HP-HP564XL-Combo11	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-HP-HP564XL-Combo11-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1413	SPEC-HP-HP564XL-Combo11	90117	Warning	The Description field contains an invalid value: Product Info11-pack High Yield Remanufactured Ink Cartridges replace Hewlett Packard (HP 564XL)Re... The value exceeds the maximum number of characters allowed: 2000.
1414	SPEC-HP-HP564XL-Combo9	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-HP-HP564XL-Combo9-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1414	SPEC-HP-HP564XL-Combo9	90117	Warning	The Description field contains an invalid value: Product Info9-pack High Yield Remanufactured Ink Cartridges replace Hewlett Packard (HP 564XL)Rem... The value exceeds the maximum number of characters allowed: 2000.
1415	SPEC-Canon-PGI-250XL-Combo12	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Canon-PGI-250XL-Combo12-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1416	SPEC-Kodak-10-Combo4	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Kodak-10-Combo4-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1417	SPEC-Kodak-10-Combo8	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Kodak-10-Combo8-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1418	SPEC-Kodak-30XL-Combo4	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Kodak-30XL-Combo4-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1419	SPEC-Kodak-30XL-Combo8	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Kodak-30XL-Combo8-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
142	INK-HP-C4912A	99037	Warning	The "UPC" (00725184272714) field contains an invalid value.
1420	SPEC-Kodak-30XL-Combo2	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Kodak-30XL-Combo2-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1421	SPEC-Dell-Series-21-Combo8	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Dell-Series-21-Combo8-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1422	SPEC-Dell-Series-22-Combo8	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Dell-Series-22-Combo8-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1423	SPEC-Dell-Series-23-Combo8	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Dell-Series-23-Combo8-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1424	SPEC-Dell-Series-24-Combo8	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/SPEC-Dell-Series-24-Combo8-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
143	INK-HP-C4913A	99037	Warning	The "UPC" (00725184272721) field contains an invalid value.
1431	RIBBON-Panasonic-KX-FA92	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/RIBBON-Panasonic-KX-FA92-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1432	RIBBON-Sharp-UX-3CR-2	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/RIBBON-Sharp-UX-3CR-2-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
144	INK-HP-C4930A	99037	Warning	The "UPC" (00025184252564) field contains an invalid value.
1443	TONER-Panasonic-KX-FATC506	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Panasonic-KX-FATC506-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1445	TONER-Okidata-42918981	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Okidata-42918981-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1446	TONER-Okidata-42918982	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Okidata-42918982-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1447	TONER-Okidata-42918983	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Okidata-42918983-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1448	TONER-Okidata-42918984	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Okidata-42918984-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
145	INK-HP-C4931A	99037	Warning	The "UPC" (00025184252571) field contains an invalid value.
1453	TONER-Konica-Minolta-A0WG03F	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Konica-Minolta-A0WG03F-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1454	TONER-Konica-Minolta-A0WG08F	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Konica-Minolta-A0WG08F-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1455	TONER-Konica-Minolta-A0WG0EF	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Konica-Minolta-A0WG0EF-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1456	TONER-Konica-Minolta-A0WG0KF	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/TONER-Konica-Minolta-A0WG0KF-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
146	INK-HP-C4932A	99037	Warning	The "UPC" (00025184252588) field contains an invalid value.
1465	DRUM-Minolta-1710568-001	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/DRUM-Minolta-1710568-001-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
147	INK-HP-C4933A	99037	Warning	The "UPC" (00025184252595) field contains an invalid value.
148	INK-HP-C4934A	99037	Warning	The "UPC" (00025184252601) field contains an invalid value.
149	INK-HP-C4935A	99037	Warning	The "UPC" (00025184252618) field contains an invalid value.
150	INK-HP-C5016A	99037	Warning	The "UPC" (00725184651571) field contains an invalid value.
151	INK-HP-C5017A	8026	Error	Seller is not authorized to list products in this category. For more details, see http://sellercentral.amazon.com/gp/errorcode/8026
151	INK-HP-C5017A	99037	Warning	The "UPC" (00725184651588) field contains an invalid value.
1516	PH-4x6-MATTE-20PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-4x6-MATTE-20PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1517	PH-4x6-CANVAS-20PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-4x6-CANVAS-20PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1518	PH-4x6-LUSTRE-20PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-4x6-LUSTRE-20PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1519	PH-4x6-MATTE-100PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-4x6-MATTE-100PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
152	INK-HP-C6578AN	90117	Warning	The Description field contains an invalid value: Product InfoHP 78 - C6578AN (Compatible) Tri-Color Inkjet CartridgeWe carry a variety of Replacem... The value exceeds the maximum number of characters allowed: 2000.
1520	PH-4x6-LUSTRE-100PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-4x6-LUSTRE-100PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1521	PH-4x6-CANVAS-100PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-4x6-CANVAS-100PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
