Unique Product Identifier	Manufacturer	Manufacturer Part #	Product Name	Description	Price	Click-out URL	NexTag Product Cat.	Image URL	Stock Status	Product Condition	Ground Shipping	Weight	Promo Type	Promo Text	List Price	Coupon Code Discount	Coupon URL Discount	Cost-per-Click
INK-Xerox-108R00926-OEM	Xerox	108R00926-OEM	Xerox ColorQube 8570 OEM Cyan Solid Ink	Xerox OEM ColorQube 8570 (2 Cyan Pack) 108R00926 Solid Ink ColorStix Cartridge	152.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-108R00926-OEM&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-108R00926-OEM.jpg	Yes	New	0.00	1	free shipping	Free Shipping on orders over $50.00	187.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-108R00927-OEM	Xerox	108R00927-OEM	Xerox ColorQube 8570 OEM Magenta Solid Ink	Xerox OEM ColorQube 8570 (2 Magenta Pack) 108R00927 Solid Ink ColorStix Cartridge	152.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-108R00927-OEM&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-108R00927-OEM.jpg	Yes	New	0.00	1	free shipping	Free Shipping on orders over $50.00	187.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-108R00928-OEM	Xerox	108R00928-OEM	Xerox ColorQube 8570 OEM Yellow Solid Ink	Xerox OEM ColorQube 8570 (2 Yellow Pack) 108R00928 Solid Ink ColorStix Cartridge	152.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-108R00928-OEM&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-108R00928-OEM.jpg	Yes	New	0.00	1	free shipping	Free Shipping on orders over $50.00	187.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-108R00930-OEM	Xerox	108R00930-OEM	Xerox ColorQube 8570 OEM Black Solid Ink	Xerox OEM ColorQube 8570 (4 Black Pack) 108R00930 Solid Ink ColorStix Cartridge	152.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-108R00930-OEM&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-108R00930-OEM.jpg	Yes	New	0.00	1	free shipping	Free Shipping on orders over $50.00	163.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R12591	Xerox	8R12591	Xerox 8R12591 Tri-Color Ink cartridge	Replacement for Xerox 8R12591 Color Inkjet Cartridge	11.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R12591&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-8R12591.jpg	Yes	New	3.99	0.18625	free shipping	Free Shipping on orders over $50.00	34.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R12728	Xerox	8R12728	Xerox 8R12728 Black Ink cartridge	Compatible Black Ink Cartridge for Xerox 8R12728 (Y100)	3.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R12728&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-8R12728.jpg	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	8.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7660	Xerox	8R7660	Xerox 8R7660 Black Ink cartridge	Compatible Black Ink Cartridge for Xerox 8R7660	5.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7660&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	8.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7661	Xerox	8R7661	Xerox 8R7661 Blue Ink cartridge	Compatible Blue Ink Cartridge for Xerox 8R7661	5.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7661&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	8.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7662	Xerox	8R7662	Xerox 8R7662 Red Ink cartridge	Compatible Red Ink Cartridge for Xerox 8R7662	5.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7662&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	8.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7663	Xerox	8R7663	Xerox 8R7663 Yellow Ink cartridge	Compatible Yellow Ink Cartridge for Xerox 8R7663	5.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7663&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	8.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
